schema_version,study_id,security_service_cv,immigration_service_cv,scenario_id,reference_scenario_id,metric,difference_direction,comparison_method,n_pairs,difference_mean,standard_deviation,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,crn_alignment_status,analysis_role
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,security_wait_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,-0.10182262076,1.42356494495,0.201322485207,49,0.95,-0.50639530171,0.30275006019,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,immigration_wait_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.17557785702,1.07429113018,0.151927708623,49,0.95,-0.129732304063,0.480888018103,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,peak_security_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,-0.66,3.19827759768,0.452304755488,49,0.95,-1.56894043626,0.248940436264,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,peak_immigration_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.7,2.34085280117,0.331046577893,49,0.95,0.0347369947298,1.36526300527,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,peak_total_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.1,2.46816464902,0.349051192082,49,0.95,-0.601444632098,0.801444632098,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_security_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,-0.0153120833797,0.262047906909,0.0370591703943,49,0.95,-0.0897852745126,0.0591611077531,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_immigration_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.00512209550967,0.30977486195,0.0438087811052,49,0.95,-0.0829149461682,0.0931591371876,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_total_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,-0.0101899878701,0.442660918743,0.0626017074819,49,0.95,-0.135992829028,0.115612853288,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,system_time_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,17.4029911066,2.71424878019,0.38385274366,49,0.95,16.6316101382,18.174372075,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,system_time_p99_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,30.8576708511,4.58151028966,0.647923398779,49,0.95,29.5556200333,32.1597216688,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
