schema_version,study_id,security_service_cv,immigration_service_cv,scenario_id,metric,estimand,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high,analysis_role
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,time_weighted_mean_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.55267486741,1.06174634879,0.150153608625,0.95,0.25092989375,0.854419841069,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,time_weighted_mean_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.860849150764,1.08331770076,0.153204258477,0.95,0.552973666706,1.16872463482,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.41352401817,1.74576605678,0.246888603423,0.95,0.917382794405,1.90966524194,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,system_time_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,59.1326720136,4.12743010378,0.583706763052,0.95,57.9596693569,60.3056746704,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,system_time_p99_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,88.0052192659,11.5682935488,1.63600376302,0.95,84.7175466159,91.292891916,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,system_time_max_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,139.079935099,44.8060591481,6.33653365237,0.95,126.346193982,151.813676216,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,52,9.84989381482,1.39298534209,0.95,49.2006911509,54.7993088491,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,82.8244490149,29.7066937056,4.20116091317,0.95,74.3819000766,91.2669979532,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,4.00259757896,2.8147340205,0.398063502626,0.95,3.20265902128,4.80253613664,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.822719214187,0.93748931115,0.132581009841,0.95,0.556287699898,1.08915072848,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,security_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.2170543945,2.72206058069,0.384957499081,0.95,1.443453337,2.990655452,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,immigration_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.51055246358,1.1654024268,0.164812791761,0.95,2.1793487585,2.84175616866,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,peak_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,7.72,4.98994908158,0.705685366672,0.95,6.30187216193,9.13812783807,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,peak_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,7.68,2.31622493709,0.327563671954,0.95,7.02173615626,8.33826384374,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
