schema_version,study_id,analysis_role,scenario_id,arrival_level_id,input_sample_id,metric,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,security_nominal_offered_load,50,1.03982800582,3.14018491737e-17,4.4408920985e-18,0.95,1.03982800582,1.03982800582
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_nominal_offered_load,50,1.18012226058,0,0,0.95,1.18012226058,1.18012226058
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,security_arrival_window_utilization,50,0.948461569093,0.0160871485613,0.00227506636752,0.95,0.943889652058,0.953033486128
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_arrival_window_utilization,50,0.904100562127,0.00608125311461,0.000860019063091,0.95,0.902372289115,0.90582883514
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_15_rate,50,0.676356135209,0.116835325385,0.0165230101724,0.95,0.643151903123,0.709560367294
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_30_rate,50,0.400475951249,0.167905378417,0.0237454063353,0.95,0.352757770682,0.448194131816
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_60_rate,50,0.0416133408424,0.0713343681088,0.0100882030843,0.95,0.0213403377371,0.0618863439477
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,security_nominal_offered_load,50,0.515322199641,5.49417910395e-17,7.76994260292e-18,0.95,0.515322199641,0.515322199641
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,immigration_nominal_offered_load,50,0.584849798011,0,0,0.95,0.584849798011,0.584849798011
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,security_arrival_window_utilization,50,0.500350510069,0.0327177735631,0.00462699191035,0.95,0.491052221704,0.509648798435
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,immigration_arrival_window_utilization,50,0.533268197759,0.0349566504346,0.00494361691397,0.95,0.523333627626,0.543202767891
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_exceed_15_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_exceed_30_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_exceed_60_rate,50,0,0,0,0.95,0,0
