schema_version,scenario_id,reference_scenario_id,scenario_input_sample_id,reference_input_sample_id,metric,difference_direction,comparison_method,alignment_status,n_scenario,n_reference,difference_mean,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,analysis_status
1.0,CAPACITY_IMMIGRATION_PLUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,security_wait_p95_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,CAPACITY_IMMIGRATION_PLUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_wait_p95_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-6.99087487372,0.0831974671742,49,0.95,-7.15806644355,-6.82368330389,COMPLETE
1.0,CAPACITY_IMMIGRATION_PLUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_600_rate,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,CAPACITY_IMMIGRATION_PLUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_900_rate,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,CAPACITY_IMMIGRATION_PLUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_1200_rate,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,CAPACITY_IMMIGRATION_PLUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,security_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0.01873992248,0.00049060925874,49,0.95,0.0177540062625,0.0197258386975,COMPLETE
1.0,CAPACITY_IMMIGRATION_PLUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.09681072242,0.000439904388659,49,0.95,-0.0976947433862,-0.0959267014538,COMPLETE
1.0,CAPACITY_IMMIGRATION_PLUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,cutoff_backlog_fraction,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.01631095108,0.000493070128959,49,0.95,-0.0173018126013,-0.0153200895587,COMPLETE
1.0,CAPACITY_IMMIGRATION_PLUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,cohort_clear_time_after_cutoff_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-8.00922290878,0.20397389561,49,0.95,-8.41912379842,-7.59932201914,COMPLETE
1.0,CAPACITY_IMMIGRATION_PLUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_p95_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.06690438318,0.0299336250064,49,0.95,-0.12705825475,-0.00675051160965,COMPLETE
