replication_id,traveller_id,arrival_seconds,security_service_demand_seconds,immigration_primary_service_demand_seconds,additional_check_flag,additional_check_service_demand_seconds,lane_tie_u,security_queue_join_seconds,security_start_seconds,security_end_seconds,immigration_queue_join_seconds,immigration_start_seconds,exit_seconds
1,LOCAL_WINDOW_HPP_BASE_R001_T00074,50.820982530,21.818181818,13.000000000,false,,0.746971658,50.820982530,50.820982530,72.639164348,72.639164348,72.639164348,85.639164348
1,LOCAL_WINDOW_HPP_BASE_R001_T00075,51.106041980,21.818181818,13.000000000,false,,0.901870893,51.106041980,51.106041980,72.924223798,72.924223798,72.924223798,85.924223798
1,LOCAL_WINDOW_HPP_BASE_R001_T00076,53.420341112,21.818181818,13.000000000,false,,0.076003976,53.420341112,53.420341112,75.238522930,75.238522930,75.238522930,88.238522930
1,LOCAL_WINDOW_HPP_BASE_R001_T00077,55.034827869,21.818181818,13.000000000,false,,0.554030387,55.034827869,55.034827869,76.853009687,76.853009687,76.853009687,89.853009687
1,LOCAL_WINDOW_HPP_BASE_R001_T00078,55.188027145,21.818181818,13.000000000,false,,0.018016678,55.188027145,55.188027145,77.006208963,77.006208963,77.006208963,90.006208963
1,LOCAL_WINDOW_HPP_BASE_R001_T00079,56.370368494,21.818181818,13.000000000,false,,0.184414182,56.370368494,56.370368494,78.188550312,78.188550312,78.188550312,91.188550312
1,LOCAL_WINDOW_HPP_BASE_R001_T00080,57.251164667,21.818181818,13.000000000,false,,0.446630878,57.251164667,57.251164667,79.069346485,79.069346485,79.069346485,92.069346485
1,LOCAL_WINDOW_HPP_BASE_R001_T00081,60.111837397,21.818181818,13.000000000,false,,0.118996692,60.111837397,60.111837397,81.930019215,81.930019215,81.930019215,94.930019215
1,LOCAL_WINDOW_HPP_BASE_R001_T00082,60.553568458,21.818181818,13.000000000,false,,0.896106305,60.553568458,60.553568458,82.371750276,82.371750276,82.371750276,95.371750276
1,LOCAL_WINDOW_HPP_BASE_R001_T00083,61.635719343,21.818181818,13.000000000,false,,0.696165283,61.635719343,61.635719343,83.453901161,83.453901161,83.453901161,96.453901161
1,LOCAL_WINDOW_HPP_BASE_R001_T00084,62.283470468,21.818181818,13.000000000,false,,0.023808666,62.283470468,62.283470468,84.101652286,84.101652286,84.101652286,97.101652286
1,LOCAL_WINDOW_HPP_BASE_R001_T00085,63.640168495,21.818181818,13.000000000,false,,0.216681191,63.640168495,63.640168495,85.458350313,85.458350313,85.458350313,98.458350313
1,LOCAL_WINDOW_HPP_BASE_R001_T00086,64.897962999,21.818181818,13.000000000,false,,0.089703231,64.897962999,64.897962999,86.716144817,86.716144817,86.716144817,99.716144817
1,LOCAL_WINDOW_HPP_BASE_R001_T00087,65.597058505,21.818181818,13.000000000,false,,0.362851041,65.597058505,65.597058505,87.415240323,87.415240323,87.415240323,100.415240323
1,LOCAL_WINDOW_HPP_BASE_R001_T00088,65.782959774,21.818181818,13.000000000,false,,0.726270907,65.782959774,65.782959774,87.601141592,87.601141592,87.601141592,100.601141592
1,LOCAL_WINDOW_HPP_BASE_R001_T00089,66.098062985,21.818181818,13.000000000,false,,0.186654155,66.098062985,66.098062985,87.916244803,87.916244803,87.916244803,100.916244803
1,LOCAL_WINDOW_HPP_BASE_R001_T00090,66.277876647,21.818181818,13.000000000,false,,0.319365096,66.277876647,66.277876647,88.096058465,88.096058465,88.096058465,101.096058465
1,LOCAL_WINDOW_HPP_BASE_R001_T00091,66.612212861,21.818181818,13.000000000,false,,0.349246720,66.612212861,66.612212861,88.430394679,88.430394679,88.430394679,101.430394679
1,LOCAL_WINDOW_HPP_BASE_R001_T00092,66.971535522,21.818181818,13.000000000,false,,0.151891958,66.971535522,66.971535522,88.789717340,88.789717340,88.789717340,101.789717340
1,LOCAL_WINDOW_HPP_BASE_R001_T00093,67.286860881,21.818181818,13.000000000,false,,0.878465350,67.286860881,67.286860881,89.105042699,89.105042699,89.105042699,102.105042699
1,LOCAL_WINDOW_HPP_BASE_R001_T00094,67.503542656,21.818181818,13.000000000,false,,0.360027410,67.503542656,67.503542656,89.321724474,89.321724474,89.321724474,102.321724474
1,LOCAL_WINDOW_HPP_BASE_R001_T00095,67.616543907,21.818181818,13.000000000,false,,0.430469947,67.616543907,67.616543907,89.434725725,89.434725725,89.434725725,102.434725725
1,LOCAL_WINDOW_HPP_BASE_R001_T00096,68.060299772,21.818181818,13.000000000,false,,0.263834034,68.060299772,68.060299772,89.878481590,89.878481590,89.878481590,102.878481590
1,LOCAL_WINDOW_HPP_BASE_R001_T00097,68.245515444,21.818181818,13.000000000,false,,0.920910700,68.245515444,68.245515444,90.063697262,90.063697262,90.063697262,103.063697262
1,LOCAL_WINDOW_HPP_BASE_R001_T00098,68.696949515,21.818181818,13.000000000,false,,0.824086312,68.696949515,68.696949515,90.515131333,90.515131333,90.515131333,103.515131333
