schema_version,study_id,view,path_index,security_capacity,immigration_capacity,security_reduction,immigration_reduction,security_offered_load_ratio,immigration_offered_load_ratio,scenario_id,metric,n_replications,mean,standard_error,ci_level,ci_low,ci_high
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,41,30,16,6,5,0.992155125062,1.10842330379,CAPACITY_RESPONSE_S30_I16,total_queue_wait_p95_seconds,50,35.6417547164,1.83710896993,0.95,31.9499460225,39.3335634103
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,42,29,21,7,0,1.02636737075,0.844512993364,CAPACITY_RESPONSE_S29_I21,total_queue_wait_p95_seconds,50,17.4587881551,1.25088511425,0.95,14.945040405,19.9725359052
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,43,29,20,7,1,1.02636737075,0.886738643032,CAPACITY_RESPONSE_S29_I20,total_queue_wait_p95_seconds,50,17.5145369055,1.24879096465,0.95,15.0049975066,20.0240763044
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,44,29,19,7,2,1.02636737075,0.933409097928,CAPACITY_RESPONSE_S29_I19,total_queue_wait_p95_seconds,50,17.5927002065,1.25059737071,0.95,15.0795306987,20.1058697143
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,45,29,18,7,3,1.02636737075,0.985265158924,CAPACITY_RESPONSE_S29_I18,total_queue_wait_p95_seconds,50,17.8864375054,1.26029779888,0.95,15.3537742574,20.4191007535
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,46,29,17,7,4,1.02636737075,1.04322193298,CAPACITY_RESPONSE_S29_I17,total_queue_wait_p95_seconds,50,21.3938199932,1.40096781256,0.95,18.578469769,24.2091702173
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,47,29,16,7,5,1.02636737075,1.10842330379,CAPACITY_RESPONSE_S29_I16,total_queue_wait_p95_seconds,50,35.7342163198,1.83705314667,0.95,32.042519807,39.4259128327
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,48,28,21,8,0,1.06302334828,0.844512993364,CAPACITY_RESPONSE_S28_I21,total_queue_wait_p95_seconds,50,24.43412608,1.5487012498,0.95,21.3218943987,27.5463577614
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,49,28,20,8,1,1.06302334828,0.886738643032,CAPACITY_RESPONSE_S28_I20,total_queue_wait_p95_seconds,50,24.4792834059,1.54913795183,0.95,21.366174139,27.5923926728
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,50,28,19,8,2,1.06302334828,0.933409097928,CAPACITY_RESPONSE_S28_I19,total_queue_wait_p95_seconds,50,24.5461274161,1.55017450774,0.95,21.4309351122,27.6613197201
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,51,28,18,8,3,1.06302334828,0.985265158924,CAPACITY_RESPONSE_S28_I18,total_queue_wait_p95_seconds,50,24.7417871411,1.55117552088,0.95,21.6245832259,27.8589910563
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,52,28,17,8,4,1.06302334828,1.04322193298,CAPACITY_RESPONSE_S28_I17,total_queue_wait_p95_seconds,50,25.3778662285,1.55715306641,0.95,22.2486499858,28.5070824711
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,53,28,16,8,5,1.06302334828,1.10842330379,CAPACITY_RESPONSE_S28_I16,total_queue_wait_p95_seconds,50,35.9200561222,1.84230976356,0.95,32.2177960422,39.6223162022
