schema_version,study_id,security_capacity,immigration_capacity,scenario_id,metric,estimand,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high,analysis_role
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,21,CAPACITY_RESPONSE_S35_I21,security_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,3.12827070512,2.7414955337,0.387706016495,0.95,2.34914629509,3.90739511515,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,21,CAPACITY_RESPONSE_S35_I21,immigration_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.03152717946,0.800820442671,0.113253113105,0.95,1.80393652784,2.25911783108,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,20,CAPACITY_RESPONSE_S35_I20,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,5.34085758842,3.50153835583,0.495192303199,0.95,4.34573139829,6.33598377855,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,20,CAPACITY_RESPONSE_S35_I20,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.39815755246,1.45537997221,0.20582180951,0.95,0.984543140807,1.81177196411,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,20,CAPACITY_RESPONSE_S35_I20,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,10.88,5.68793926314,0.804396084789,0.95,9.26350554716,12.4964944528,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,20,CAPACITY_RESPONSE_S35_I20,time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.82819224863,2.14116554345,0.302806535083,0.95,1.21967973408,2.43670476317,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,20,CAPACITY_RESPONSE_S35_I20,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,51.54,8.4689348293,1.19768824944,0.95,49.1331553521,53.9468446479,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,20,CAPACITY_RESPONSE_S35_I20,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,36.2716327142,2.91579889851,0.412356234742,0.95,35.442971836,37.1002935924,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,20,CAPACITY_RESPONSE_S35_I20,security_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,3.12827070512,2.7414955337,0.387706016495,0.95,2.34914629509,3.90739511515,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,20,CAPACITY_RESPONSE_S35_I20,immigration_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,3.33480668652,1.30464358075,0.184504464595,0.95,2.96403108333,3.70558228971,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
