schema_version,study_id,scenario_id,input_sample_id,metric,estimand,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high,analysis_status
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_LOW,time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.0218152757651,0.0538069649957,0.0076094539647,0.95,0.00652350550952,0.0371070460206,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.13441384092,0.442082537576,0.0625199120329,0.95,0.00877537387126,0.260052307969,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_LOW,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,33.8,6.76726816133,0.957036241397,0.95,31.8767636683,35.7232363317,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_LOW,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,33.8556739037,1.09688219036,0.155122566993,0.95,33.5439434343,34.167404373,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_LOW,security_utilization,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.58368927814,0.0376470653617,0.0053240990418,0.95,0.572990100546,0.594388455734,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_LOW,immigration_utilization,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.52995280492,0.0341811450544,0.00483394389134,0.95,0.520238630978,0.539666978862,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_BASE,peak_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,14.66,7.07282814433,1.0002489486,0.95,12.6499244819,16.6700755181,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_BASE,peak_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,4.48,1.2974071474,0.183481078377,0.95,4.11128096841,4.84871903159,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_BASE,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,14.68,7.05500256729,0.997728031324,0.95,12.6749904549,16.6850095451,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_BASE,time_weighted_mean_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.78423921339,3.19208498983,0.451428988487,0.95,1.87705869681,3.69141972998,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_BASE,time_weighted_mean_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.194127913315,0.152586263394,0.0215789563124,0.95,0.150763377067,0.237492449564,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_BASE,time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.97836712671,3.28236112149,0.464195961462,0.95,2.04553041738,3.91120383604,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_BASE,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,7.09406580436,4.43522756147,0.627235896964,0.95,5.83358807798,8.35454353074,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_BASE,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,53.4,9.89743318611,1.39970842445,0.95,50.587180611,56.212819389,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_BASE,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,37.8462625326,4.59972915222,0.650499935032,0.95,36.5390339714,39.1534910938,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_BASE,security_utilization,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.83222615982,0.034852208806,0.00492884663722,0.95,0.82232127167,0.84213104797,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_BASE,immigration_utilization,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.75560851342,0.0316435927356,0.00447507980089,0.95,0.746615503868,0.764601522972,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_HIGH,peak_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,129.6,22.2893769884,3.15219392338,0.95,123.265429149,135.934570851,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_HIGH,peak_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,6.18,3.15381207624,0.44601638114,0.95,5.28369652511,7.07630347489,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_HIGH,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,131.46,22.6519449992,3.20346878319,0.95,125.02238846,137.89761154,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_HIGH,time_weighted_mean_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,60.8078486925,10.8861715845,1.53953714972,0.95,57.7140329597,63.9016644252,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_HIGH,time_weighted_mean_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.2283755142,1.09037353664,0.154202104357,0.95,0.918494783768,1.53825624463,COMPLETE
