schema_version,study_id,scenario_id,reference_scenario_id,scenario_input_sample_id,reference_input_sample_id,metric,difference_direction,comparison_method,alignment_status,n_scenario,n_reference,difference_mean,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,analysis_status
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,security_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0.03086270422,0.000457754216372,49,0.95,0.0299428126821,0.0317825957579,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.07292042686,0.000452812790831,49,0.95,-0.0738303882315,-0.0720104654885,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,peak_security_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,peak_immigration_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,2.6,0.114285714286,49,0.95,2.37033425861,2.82966574139,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,peak_total_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,2.6,0.114285714286,49,0.95,2.37033425861,2.82966574139,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,time_weighted_mean_security_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,time_weighted_mean_immigration_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0.0896674498491,0.0143311370317,49,0.95,0.0608679517503,0.118466947948,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,time_weighted_mean_total_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0.0896674498491,0.0143311370317,49,0.95,0.0608679517503,0.118466947948,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_p95_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0.72735462254,0.122463983365,49,0.95,0.48125403413,0.97345521095,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,cutoff_backlog,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0.06,0.06,49,0.95,-0.0605745142278,0.180574514228,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,cohort_clear_time_after_cutoff_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0.23905930126,0.0918047715404,49,0.95,0.0545707057222,0.423547896798,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,security_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.00038684074,0.000148462885706,49,0.95,-0.000685188078747,-8.84934012526e-05,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,immigration_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0.08787479324,0.000776647447711,49,0.95,0.0863140617611,0.0894355247189,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,peak_security_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,peak_immigration_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,12.42,1.08725079246,49,0.95,10.2350877309,14.6049122691,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,peak_total_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,10.26,0.940607706296,49,0.95,8.36977804558,12.1502219544,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,time_weighted_mean_security_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,3.10862446895e-17,2.97633767936e-17,49,0.95,-2.87255002883e-17,9.08979896673e-17,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,time_weighted_mean_immigration_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,4.89497424016,0.546498341339,49,0.95,3.79674470627,5.99320377405,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,time_weighted_mean_total_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,4.89497424016,0.546498341339,49,0.95,3.79674470627,5.99320377405,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_p95_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,8.3190543638,0.675089959372,49,0.95,6.96241029861,9.67569842899,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,cutoff_backlog,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,8.3,1.23230330218,49,0.95,5.8235937993,10.7764062007,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,cohort_clear_time_after_cutoff_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,8.17373095262,1.01959965789,49,0.95,6.12476872835,10.2226931769,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,security_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.01795336216,0.0022793173748,49,0.95,-0.022533821914,-0.013372902406,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,immigration_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0.105485335,0.00209127116587,49,0.95,0.101282768251,0.109687901749,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,peak_security_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,peak_immigration_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,75.74,0.599189929345,49,0.95,74.5358827557,76.9441172443,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,peak_total_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,61,0.363654916039,49,0.95,60.2692080859,61.7307919141,COMPLETE
